NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,,,,,,,,,,,,,,,,,DEGURBA,COASTAL,URAU_CITY_ID,URAU_CITY_NAME,URAU_KERNEL_ID,URAU_KERNEL_NAME,URAU_FUA_ID,URAU_FUA_NAME,GRD_POPL,URB_CLST_GRD_POPL,HDENS_CLST_GRD_POPL
IE021,01,02085,no,Raheny-Foxfield,Raheny-Foxfield,n.a,59000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02086,no,Raheny-Greendale,Raheny-Greendale,n.a,44000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02087,no,Raheny-St. Assam,Raheny-St. Assam,n.a,237000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02088,no,Rotunda A,Rotunda A,n.a,24000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02089,no,Rotunda B,Rotunda B,n.a,21000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02090,no,Whitehall A,Whitehall A,n.a,134000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02091,no,Whitehall B,Whitehall B,n.a,74000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02092,no,Whitehall C,Whitehall C,n.a,76000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02093,no,Whitehall D,Whitehall D,n.a,70000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02094,no,Chapelizod,Chapelizod,n.a,118000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02095,no,Cherry Orchard A,Cherry Orchard A,n.a,107000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02096,no,Carna,Carna,n.a,58000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02097,no,Cherry Orchard C,Cherry Orchard C,n.a,145000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02098,no,Crumlin A,Crumlin A,n.a,55000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02099,no,Crumlin B,Crumlin B,n.a,74000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02100,no,Crumlin C,Crumlin C,n.a,49000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02101,no,Crumlin D,Crumlin D,n.a,58000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02102,no,Crumlin E,Crumlin E,n.a,38000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02103,no,Crumlin F,Crumlin F,n.a,40000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02104,no,Decies,Decies,n.a,33000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02105,no,Drumfinn,Drumfinn,n.a,81000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02106,no,Inchicore A,Inchicore A,n.a,100000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02107,no,Inchicore B,Inchicore B,n.a,82000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02108,no,Kilmainham A,Kilmainham A,n.a,25000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02109,no,Kilmainham B,Kilmainham B,n.a,81000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02110,no,Kilmainham C,Kilmainham C,n.a,60000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02111,no,Kimmage A,Kimmage A,n.a,29000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02112,no,Kimmage B,Kimmage B,n.a,43000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02113,no,Kimmage C,Kimmage C,n.a,94000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02114,no,Kimmage D,Kimmage D,n.a,42000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02115,no,Kimmage E,Kimmage E,n.a,64000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02116,no,Kylemore,Kylemore,n.a,58000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02117,no,Mansion House A,Mansion House A,n.a,65000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02118,no,Mansion House B,Mansion House B,n.a,64000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02119,no,Merchants Quay A,Merchants Quay A,n.a,17000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02120,no,Merchants Quay B,Merchants Quay B,n.a,23000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02121,no,Merchants Quay C,Merchants Quay C,n.a,33000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02122,no,Merchants Quay D,Merchants Quay D,n.a,22000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02123,no,Merchants Quay E,Merchants Quay E,n.a,23000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02124,no,Merchants Quay F,Merchants Quay F,n.a,29000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02125,no,Pembroke East A,Pembroke East A,n.a,214000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02126,no,Pembroke East B,Pembroke East B,n.a,68000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02127,no,Pembroke East C,Pembroke East C,n.a,92000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02128,no,Pembroke East D,Pembroke East D,n.a,181000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02129,no,Pembroke East E,Pembroke East E,n.a,120000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02130,no,Pembroke West A,Pembroke West A,n.a,63000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02131,no,Pembroke West B,Pembroke West B,n.a,72000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02132,no,Pembroke West C,Pembroke West C,n.a,67000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02133,no,Rathfarnham,Rathfarnham,n.a,121000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02134,no,Rathmines East A,Rathmines East A,n.a,72000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02135,no,Rathmines East B,Rathmines East B,n.a,122000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02136,no,Rathmines East C,Rathmines East C,n.a,73000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02137,no,Rathmines East D,Rathmines East D,n.a,36000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02138,no,Rathmines West A,Rathmines West A,n.a,65000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02139,no,Rathmines West B,Rathmines West B,n.a,33000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02140,no,Rathmines West C,Rathmines West C,n.a,41000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02141,no,Rathmines West D,Rathmines West D,n.a,37000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02142,no,Rathmines West E,Rathmines West E,n.a,45000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02143,no,Rathmines West F,Rathmines West F,n.a,44000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02144,no,Royal Exchange A,Royal Exchange A,n.a,44000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02145,no,Royal Exchange B,Royal Exchange B,n.a,22000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02146,no,Saint Kevin's,St. Kevin's,n.a,62000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02147,no,South Dock,South Dock,n.a,106000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02148,no,Terenure A,Terenure A,n.a,53000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02149,no,Terenure B,Terenure B,n.a,52000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02150,no,Terenure C,Terenure C,n.a,72000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02151,no,Terenure D,Terenure D,n.a,45000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02152,no,Ushers A,Ushers A,n.a,71000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02153,no,Ushers B,Ushers B,n.a,26000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02154,no,Ushers C,Ushers C,n.a,38000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02155,no,Ushers D,Ushers D,n.a,14000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02156,no,Ushers E,Ushers E,n.a,21000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02157,no,Ushers F,Ushers F,n.a,50000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02158,no,Walkinstown A,Walkinstown A,n.a,103000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02159,no,Walkinstown B,Walkinstown B,n.a,37000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02160,no,Walkinstown C,Walkinstown C,n.a,48000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
