NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,
HR046,,02763,no,Mursko-Središće,Mursko-Središće,3465,n.a.,
HR04B,,02780,no,Našice,Našice,7894,n.a.,
HR046,,02798,no,Nedelišće,Nedelišće,12028,n.a.,
HR035,,02801,no,Nerežišća,Nerežišća,864,n.a.,
HR04D,,02810,no,Netretić,Netretić,2860,n.a.,
HR033,,02828,no,Nin,Nin,1151,n.a.,
HR048,,02836,no,Nova Bukovica,Nova Bukovica,1776,n.a.,
HR04A,,02844,no,Nova Gradiška,Nova Gradiška,14196,n.a.,
HR04A,,02852,no,Nova Kapela,Nova Kapela,4202,n.a.,
HR047,,02879,no,Nova Rača,Nova Rača,3434,n.a.,
HR032,,02887,no,Novalja,Novalja,3672,n.a.,
HR044,,02895,no,Novi Marof,Novi Marof,1936,n.a.,
HR031,,02909,no,Novi Vinodolski,Novi Vinodolski,3998,n.a.,
HR036,,02917,no,Novigrad-Cittanova,Novigrad-Cittanova,4345,n.a.,
HR045,,02925,no,Novigrad Podravski,Novigrad Podravski,2862,n.a.,
HR04E,,02933,no,Novska,Novska,7046,n.a.,
HR04C,,02941,no,Nuštar,Nuštar,5772,n.a.,
HR04C,,02950,no,Nijemci,Nijemci,4715,n.a.,
HR033,,02976,no,Ogulin,Ogulin,8216,n.a.,#REF!
HR04D,,02984,no,Promina,Promina,1109,n.a.,
HR034,,02986,no,Obrovac,Obrovac,985,n.a.,
HR04A,,02992,no,Okučani,Okučani,3433,n.a.,
HR035,,03000,no,Omiš,Omiš,6387,n.a.,
HR031,,03018,no,Omišalj,Omišalj,2987,n.a.,
HR031,,03026,no,Opatija,Opatija,6624,n.a.,
HR04A,,03034,no,Oprisavci,Oprisavci,2514,n.a.,
HR036,,03042,no,Oprtalj - Portole,Oprtalj - Portole,862,n.a.,
HR037,,03069,no,Opuzen,Opuzen,2732,n.a.,
HR048,,03077,no,Orahovica,Orahovica,3904,n.a.,
HR037,,03085,no,Orebić,Orebić,4101,n.a.,
HR04A,,03093,no,Oriovac,Oriovac,5819,n.a.,
HR034,,03107,no,Biskupija,Biskupija,1696,n.a.,
HR043,,03115,no,Oroslavje,Oroslavje,3363,n.a.,
HR04B,,03123,no,Osijek,Osijek,83496,n.a.,
HR032,,03131,no,Otočac,Otočac,4203,n.a.,
HR035,,03140,no,Otok,Otok,5468,n.a.,
HR04D,,03158,no,Ozalj,Ozalj,1194,n.a.,
HR033,,03166,no,Pag,Pag,2942,n.a.,
HR033,,03174,no,Pakoštane,Pakoštane,4170,n.a.,
HR049,,03182,no,Pakrac,Pakrac,4852,n.a.,
HR033,,03204,no,Pašman,Pašman,2095,n.a.,
HR036,,03212,no,Pazin,Pazin,4382,n.a.,
HR032,,03239,no,Perušić,Perušić,2631,n.a.,
HR045,,03247,no,Peteranec,Peteranec,2681,n.a.,
HR04B,,03255,no,Petlovac,Petlovac,2407,n.a.,
HR044,,03263,no,Petrijanec,Petrijanec,4825,n.a.,
HR04B,,03271,no,Petrijevci,Petrijevci,2870,n.a.,
HR04E,,03280,no,Petrinja,Petrinja,15480,n.a.,
HR043,,03298,no,Petrovsko,Petrovsko,2659,n.a.,
HR036,,03301,no,Pićan,Pićan,1820,n.a.,
HR042,,03310,no,Pisarovina,Pisarovina,3678,n.a.,
HR048,,03328,no,Pitomača,Pitomača,10049,n.a.,
HR04D,,03336,no,Plaški,Plaški,2076,n.a.,
HR049,,03344,no,Pleternica,Pleternica,3443,n.a.,
HR037,,03352,no,Ploče,Ploče,5871,n.a.,
HR035,,03379,no,Podbablje,Podbablje,4709,n.a.,
HR04A,,03387,no,Podcrkavlje,Podcrkavlje,2573,n.a.,
HR035,,03395,no,Podgora,Podgora,2514,n.a.,
HR04B,,03409,no,Podgorač,Podgorač,2894,n.a.,
HR035,,03417,no,Podstrana,Podstrana,9103,n.a.,
HR046,,03425,no,Podturen,Podturen,3937,n.a.,
HR037,,03433,no,Pojezerje,Pojezerje,993,n.a.,
HR033,,03441,no,Polača,Polača,1464,n.a.,
HR033,,03450,no,Poličnik,Poličnik,4448,n.a.,
HR04B,,03468,no,Popovac,Popovac,2094,n.a.,
HR04E,,03476,no,Popovača,Popovača,11952,n.a.,
HR036,,03484,no,Poreč - Parenzo,Poreč - Parenzo,9684,n.a.,
HR033,,03492,no,Posedarje,Posedarje,3613,n.a.,
HR035,,03506,no,Postira,Postira,1554,n.a.,
HR049,,03514,no,Požega,Požega,19565,n.a.,
HR043,,03522,no,Pregrada,Pregrada,1839,n.a.,
HR033,,03549,no,Preko,Preko,3853,n.a.,
HR046,,03557,no,Prelog,Prelog,4333,n.a.,
HR042,,03565,no,Preseka,Preseka,1438,n.a.,
HR034,,03573,no,Primošten,Primošten,2817,n.a.,
HR035,,03581,no,Pučišća,Pučišća,2189,n.a.,
HR036,,03590,no,Pula - Pola,Pula - Pola,57191,n.a.,
HR031,,03603,no,Punat,Punat,1953,n.a.,
HR04B,,03611,no,Punitovci,Punitovci,1800,n.a.,
HR042,,03620,no,Pušća,Pušća,2690,n.a.,
HR031,,03638,no,Rab,Rab,417,n.a.,
HR043,,03646,no,Radoboj,Radoboj,3400,n.a.,
HR04D,,03654,no,Rakovica,Rakovica,2401,n.a.,
HR045,,03662,no,Rasinja,Rasinja,3271,n.a.,
HR036,,03689,no,Raša,Raša,3197,n.a.,
HR031,,03697,no,Ravna Gora,Ravna Gora,2439,n.a.,
HR033,,03719,no,Ražanac,Ražanac,2900,n.a.,
HR04A,,03727,no,Rešetari,Rešetari,4752,n.a.,
HR031,,03735,no,Rijeka,Rijeka,127498,n.a.,
HR036,,03743,no,Rovinj,Rovinj,12913,n.a.,
HR047,,03751,no,Rovišće,Rovišće,4875,n.a.,
HR042,,03760,no,Rugvica,Rugvica,7846,n.a.,
HR034,,03778,no,Ružić,Ružić,1589,n.a.,
HR04D,,03786,no,Saborsko,Saborsko,645,n.a.,
HR033,,03794,no,Sali,Sali,1688,n.a.,
HR042,,03808,no,Samobor,Samobor,37607,n.a.,
HR04B,,03816,no,Satnica Đakovačka,Satnica Đakovačka,2179,n.a.,
HR035,,03824,no,Seget,Seget,4863,n.a.,
HR035,,03832,no,Selca,Selca,1804,n.a.,
HR046,,03859,no,Selnica,Selnica,2992,n.a.,
HR04B,,03867,no,Semeljci,Semeljci,4405,n.a.,
HR032,,03875,no,Senj,Senj,4822,n.a.,
HR04A,,03883,no,Sibinj,Sibinj,6860,n.a.,
HR035,,03905,no,Sirač,Sirač,2178,n.a.,#REF!
HR047,,03913,no,Sisak,Sisak,33049,n.a.,#REF!
HR04E,,03930,no,Skrad,Skrad,1054,n.a.,
HR031,,03956,no,Slatina,Slatina,10152,n.a.,
HR034,,03964,no,Slavonski Brod,Slavonski Brod,59507,n.a.,
HR048,,03972,no,Slavonski Šamac,Slavonski Šamac,2142,n.a.,
HR04A,,03981,no,Sinj,Sinj,11448,n.a.,
HR04A,,03984,no,Skradin,Skradin,592,n.a.,
HR037,,03999,no,Slivno,Slivno,1997,n.a.,
HR04D,,04006,no,Slunj,Slunj,1653,n.a.,
HR037,,04022,no,Smokvica,Smokvica,918,n.a.,
HR045,,04057,no,Sokolovac,Sokolovac,3452,n.a.,
HR035,,04065,no,Solin,Solin,20080,n.a.,
HR048,,04073,no,Sopje,Sopje,2313,n.a.,
HR035,,04090,no,Split,Split,165893,n.a.,
HR044,,04103,no,Sračinec,Sračinec,4835,n.a.,
HR033,,04111,no,Stankovci,Stankovci,1981,n.a.,
HR04A,,04120,no,Stara Gradiška,Stara Gradiška,1346,n.a.,
HR035,,04138,no,Stari Grad,Stari Grad,1792,n.a.,
HR04C,,04146,no,Stari Jankovci,Stari Jankovci,4404,n.a.,
HR04C,,04154,no,Stari Mikanovci,Stari Mikanovci,2945,n.a.,
HR033,,04162,no,Starigrad,Starigrad,1875,n.a.,
HR04A,,04189,no,Staro Petrovo Selo,Staro Petrovo Selo,5143,n.a.,
HR037,,04197,no,Ston,Ston,2410,n.a.,
HR04B,,04219,no,Strizivojna,Strizivojna,2515,n.a.,
HR043,,04227,no,Stubičke Toplice,Stubičke Toplice,2814,n.a.,
HR035,,04235,no,Sućuraj,Sućuraj,463,n.a.,
HR048,,04243,no,Suhopolje,Suhopolje,6646,n.a.,
HR033,,04251,no,Sukošan,Sukošan,4586,n.a.,
HR04E,,04260,no,Sunja,Sunja,5745,n.a.,
HR035,,04278,no,Supetar,Supetar,3223,n.a.,
HR033,,04286,no,Sveti Filip I Jakov,Sveti Filip I Jakov,4426,n.a.,
HR042,,04294,no,Sveti Ivan Zelina,Sveti Ivan Zelina,15990,n.a.,
HR043,,04308,no,Sveti Križ Začretje,Sveti Križ Začretje,6150,n.a.,
HR036,,04316,no,Sveti Lovreč,Sveti Lovreč,1017,n.a.,
HR036,,04324,no,Sveta Nedelja,Sveta Nedelja,2980,n.a.,
HR036,,04332,no,Sveti Petar U Šumi,Sveti Petar U Šumi,1067,n.a.,
HR036,,04359,no,Svetvinčenat,Svetvinčenat,2183,n.a.,
HR042,,04367,no,Sveta Nedelja,Sveta Nedelja,18032,n.a.,
HR044,,04375,no,Sveti Đurđ,Sveti Đurđ,3803,n.a.,
HR044,,04383,no,Sveti Ilija,Sveti Ilija,3495,n.a.,
HR045,,04391,no,Sveti Ivan Žabno,Sveti Ivan Žabno,5204,n.a.,
HR046,,04405,no,Sveti Juraj Na Bregu,Sveti Juraj Na Bregu,5112,n.a.,
HR046,,04413,no,Sveti Martin Na Muri,Sveti Martin Na Muri,2629,n.a.,
HR045,,04421,no,Sveti Petar Orehovec,Sveti Petar Orehovec,4583,n.a.,
HR035,,04430,no,Šestanovac,Šestanovac,1917,n.a.,
HR034,,04448,no,Šibenik,Šibenik,34242,n.a.,
HR033,,04456,no,Škabrnja,Škabrnja,1788,n.a.,
HR035,,04472,no,Šolta,Šolta,1675,n.a.,
HR048,,04499,no,Špišić Bukovica,Špišić Bukovica,4222,n.a.,
HR047,,04502,no,Štefanje,Štefanje,2020,n.a.,
HR046,,04529,no,Štrigova,Štrigova,2769,n.a.,
HR036,,04537,no,Tinjan,Tinjan,1672,n.a.,
HR034,,04545,no,Tisno,Tisno,3041,n.a.,
HR032,,04553,no,Plitvička Jezera,Plitvička Jezera,4358,n.a.,
HR04C,,04561,no,Tompojevci,Tompojevci,1561,n.a.,
HR04E,,04570,no,Topusko,Topusko,2934,n.a.,
HR04C,,04588,no,Tordinci,Tordinci,2047,n.a.,
HR04C,,04596,no,Tovarnik,Tovarnik,2792,n.a.,
HR035,,04600,no,Trilj,Trilj,2110,n.a.,
HR04B,,04618,no,Trnava,Trnava,1600,n.a.,
HR044,,04626,no,Trnovec Bartolovečki,Trnovec Bartolovečki,6889,n.a.,
HR035,,04634,no,Trogir,Trogir,10818,n.a.,
HR04C,,04642,no,Trpinja,Trpinja,5680,n.a.,
HR043,,04669,no,Tuhelj,Tuhelj,2099,n.a.,
HR032,,04677,no,Udbina,Udbina,1909,n.a.,
HR036,,04685,no,Umag,Umag,7093,n.a.,
HR034,,04693,no,Unešić,Unešić,1685,n.a.,
HR04B,,04715,no,Valpovo,Valpovo,7396,n.a.,
HR044,,04723,no,Varaždin,Varaždin,38746,n.a.,
HR044,,04731,no,Varaždinske Toplice,Varaždinske Toplice,1763,n.a.,
HR037,,04740,no,Vela Luka,Vela Luka,4130,n.a.,
