Jurisd,Local name,Lang,English Name,Count,Register,Notation,Code,Parent code,,,,
FR,SA à directoire (s.a.i.),,,2699,,,,,,,,
FR,Société coopérative agricole,,,2694,,,,,,,,
FR,SCP de notaires,,,2436,,,,,,,,
FR,"Association déclarée, reconnue d'utilité publique",,,2332,,,,,,,,
FR,Autre personne morale de droit privé,,,2286,,,,,,,,
FR,SCP d'avocats,,,2110,,,,,,,,
FR,Paroisse hors zone concordataire,,,2066,,,,,,,,
FR,Comité d'établissement,,,1966,,,,,,,,
FR,Caisse de crédit agricole mutuel,,,1964,,,,,,,,
FR,Société de droit étranger,,,1920,,,,,,,,
FR,Syndicat mixte fermé,,,1895,,,,,,,,
FR,Société de participations financières de profession libérale société à responsabilité limitée,,,1875,,,,,,,,
FR,Établissement public des cultes d'Alsace-Lorraine,,,1745,,,,,,,,
FR,Autre société civile professionnelle,,,1740,,,,,,,,
FR,Mutuelle,,,1734,,,,,,,,
FR,Société d'exercice libéral par action simplifiée,,,1714,,,,,,,,
FR,Caisse locale de crédit mutuel,,,1708,,,,,,,,
FR,Ordre professionnel ou assimilé,,,1686,,,,,,,,
FR,Association non déclarée,,,1642,,,,,,,,
FR,Autre SARL coopérative,,,1539,,,,,,,,
FR,SCP d'infirmiers,,,1444,,,,,,,,
FR,Établissement public local social et médico-social,,,1421,,,,,,,,
FR,SARL coopérative ouvrière de production et de crédit (SCOP),,,1348,,,,,,,,
FR,Societe anonyme,,,1328,,,,,,,,
FR,Communauté de communes,,,1319,,,,,,,,
FR,SCP de médecins,,,1294,,,,,,,,
FR,SARL nationale,,,1250,,,,,,,,
FR,Autre personne morale de droit étranger,,,1194,,,,,,,,
FR,Société civile d'attribution,,,1174,,,,,,,,
FR,Syndicat intercommunal à vocation multiple (SIVOM),,,1115,,,,,,,,
FR,Société anonyme à conseil d'administration,,,1113,,,,,,,,
FR,Autre organisme professionnel,,,1098,,,,,,,,
FR,SCP de vétérinaires,,,1092,,,,,,,,
FR,Société en commandite simple,,,1030,,,,,,,,
FR,Congrégation,,,1009,,,,,,,,
FR,Groupement foncier et rural,,,1001,,,,,,,,
FR,Indivision avec personne morale,,,976,,,,,,,,
FR,Section de commune,,,933,,,,,,,,
FR,SCP d'huissiers,,,906,,,,,,,,
FR,Établissement d'hospitalisation,,,901,,,,,,,,
FR,Établissement public local à caractère industriel ou commercial,,,900,,,,,,,,
FR,Société en participation entre personnes physiques,,,888,,,,,,,,
FR,Syndicat mixte ouvert,,,869,,,,,,,,
FR,Fondation,,,860,,,,,,,,
FR,SA d'économie mixte à conseil d'administration,,,744,,,,,,,,
FR,Société d'investissement à capital variable (SICAV) à conseil d'administration,,,737,,,,,,,,
FR,Société civile coopérative de construction,,,734,,,,,,,,
FR,Service déconcentré de l'État à compétence (inter) départementale,,,727,,,,,,,,
FR,Autre SA coopérative à conseil d'administration,,,725,,,,,,,,
FR,Groupement d'intérêt public (GIP),,,723,,,,,,,,
FR,Société créée de fait avec personne morale,,,720,,,,,,,,
FR,Assurance mutuelle agricole,,,650,,,,,,,,
FR,Société en commandite par actions,,,598,,,,,,,,
FR,Association déclarée d'insertion par l'économique,,,559,,,,,,,,
FR,Société en participation de professions libérales,,,544,,,,,,,,
FR,SCP de dentistes,,,537,,,,,,,,
FR,Association intermédiaire,,,530,,,,,,,,
FR,Commune associée,,,516,,,,,,,,
FR,Societe a responsabilite limitee a capital variable,,,508,,,,,,,,
FR,"État, collectivité ou établissement public étranger",,,483,,,,,,,,
FR,Association d'avocats à responsabilité professionnelle individuelle,,,469,,,,,,,,
FR,SCP de masseurs-kinésithérapeutes,,,445,,,,,,,,
FR,Societe a responsabilite limitee de presse,,,428,,,,,,,,
FR,Sociétés interprofessionnelles de soins ambulatoires,,,428,,,,,,,,
FR,Régie d'une collectivité locale à caractère industriel ou commercial,,,403,,,,,,,,
FR,Société de participations financières de profession libérale société par actions simplifiée,,,399,,,,,,,,
FR,Centre Intercommunal d'action sociale (CIAS),,,386,,,,,,,,
FR,Groupement de coopération sanitaire à gestion publique,,,382,,,,,,,,
FR,Régime général de la Sécurité Sociale,,,368,,,,,,,,
FR,Société à responsabilité limitée  à associé unique et capital variable,,,368,,,,,,,,
FR,SARL coopérative artisanale,,,362,,,,,,,,
FR,Organisme consulaire,,,349,,,,,,,,
FR,Groupement agricole foncier,,,344,,,,,,,,
FR,Société à responsabilité limitée d'un Etat membre de la CE ou partie à l'accord sur l'Espace économique européen,,,343,,,,,,,,
FR,Service déconcentré de l'État à compétence (inter) régionale,,,329,,,,,,,,
FR,Groupement pastoral,,,318,,,,,,,,
FR,Union de sociétés coopératives agricoles,,,315,,,,,,,,
FR,Association coopérative inscrite (droit local Alsace Moselle),,,311,,,,,,,,
FR,Autre société civile coopérative,,,309,,,,,,,,
FR,Société civile foncière,,,307,,,,,,,,
FR,Societe de droit etranger,,,305,,,,,,,,
FR,Société par actions simplifiée à capital variable,,,299,,,,,,,,
FR,(Autre) Service déconcentré de l'État à compétence territoriale,,,298,,,,,,,,
FR,Société anonyme à directoire et conseil de surveillance,,,298,,,,,,,,
FR,SA coopérative ouvrière de production et de crédit (SCOP) à conseil d'administration,,,283,,,,,,,,
FR,SCP d'architectes,,,264,,,,,,,,
